stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\justi\Documents\NTHUCS_code\mini2\TowerDefense\bin\Debug\allegro5.cfg r
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06423] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06425] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06427] added dtor for sample_instance 0000000002BCD6D0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06429] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06430] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06432] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06434] added dtor for sample_instance 0000000002BCD580, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06436] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06439] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06440] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06443] added dtor for sample_instance 0000000002BCD820, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06448] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06450] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06452] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06458] added dtor for sample_instance 0000000002BD8A40, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06463] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06465] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06466] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06468] added dtor for sample_instance 0000000002BD8CE0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06470] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06471] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06473] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06475] added dtor for sample_instance 0000000002BD83B0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06477] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06479] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06480] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06482] added dtor for sample_instance 0000000002BD8E30, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06484] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06485] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06487] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06489] added dtor for sample_instance 0000000002BD94C0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06491] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06492] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06494] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06496] added dtor for sample_instance 0000000002BD9760, func 0000000061BE32C3
